id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
15601,Scooby-Doo! and the Cyber Chase,7.304,528.0,Released,2001-10-09,0.0,73.0,0.0,tt0290057,en,Scooby-Doo! and the Cyber Chase,"When Scooby and the gang get trapped in a video game created for the gang, they must fight against the 'Phantom Virus.' To escape the game they must go level by level and defeat the game once and for all.",1.8937,"Like, compu-zoinks!","Animation, Adventure, Comedy","Hanna-Barbera Productions, Warner Bros. Animation",United States of America,English,"Scott Innes, Bob Bergen, Joe Alaskey, Grey DeLisle, Tom Kane, B.J. Ward, Mikey Kelley, Gary Anthony Sturgis, Frank Welker",Jim Stenstrum,,"Mark Turosz, Joseph Barbera, William Hanna","Jean MacCurdy, Joseph Barbera, Davis Doi, William Hanna",Louis Febre,7.1,10848.0,/mKmFscYvGLMnZ5TslwxCge5oELO.jpg
15602,Grumpier Old Men,6.5,398.0,Released,1995-12-22,71500000.0,101.0,25000000.0,tt0113228,en,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1.5288,Still Yelling. Still Fighting. Still Ready for Love.,"Romance, Comedy","Lancaster Gate, Warner Bros. Pictures",United States of America,English,"James Andelin, Katie Sagona, Cheryl Hawker, Daryl Hannah, Sophia Loren, Marcus Klemp, Michelle Johnston, Kevin Pollak, Burgess Meredith, Ann-Margret, Max Wright, Walter Matthau, Jack Lemmon, Ann Morgan Guilbert",Howard Deutch,Tak Fujimoto,Mark Steven Johnson,"John Davis, Richard C. Berman",Alan Silvestri,6.7,30979.0,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
15603,Fat Pizza,5.8,45.0,Released,2003-04-10,7888102.0,96.0,400000.0,tt0340110,en,Fat Pizza,"Fat Pizza the Film is yet another slice of life at a dodgy suburban Sydney take away. Bobo Gigliotti the psychotic pizzeria owner/pizza chef is awaiting the arrival of his mail-order refugee bride Lin Chow Bang, and a new pizza deliverer is on the block. Channel V's Jabba almost steals the show as token skip delivery boy Davo Dinkum, a stoner with a bong strapped to his face like a feedbag.",0.461,,Comedy,"Fat Pizza Productions, Village Roadshow Entertainment, SBS Independent",Australia,English,"Angus Sampson, Jason Whalley, Danielle Eckert, Jabba, Rob Shehadie, Gordy Forman, Paul Nakad, Phillip Scott, Lindsay McDougall, Adam Rosenberg, Annalise Braakensiek, Hung Le, Alan Flower, Paul Fenech, John Boxer, Tahir Bilgic, Rebel Wilson",Paul Fenech,Mike Kliem,"Tahir Bilgic, Paul Fenech","Greg Basser, Tanith Carrol, Jeff Purser, Paul Fenech",Lee John Blackmore,5.6,3832.0,/liPJfjBKSn0UKQ1W2GTgfk07Rmb.jpg
15605,Undercover,7.3,3.0,Released,2005-11-03,0.0,85.0,0.0,tt0473714,de,Undercover,Boris Ruf is an investigator with the Swiss Federal Criminal Police and is on a secret mission in Italy. He has to solve a money laundering case that has so far only caused Ruf's boss and secret lover Christa Oberholzer expense and headaches. But Ruf soon stumbles upon a crucial clue. Will he succeed in breaking up the money laundering ring surrounding Swiss trustee Raoul Furrer without putting his daughter Anna in danger?,0.1968,,"Comedy, Crime","Ruth Waldburger, Vega Film, SF DRS/ SRG SSR idée suisse",Switzerland,Deutsch,"Viktor Giacobbo, Hanns Zischler, Stefano Viali, Gerhard Polt, Anna Schinz, Mike Müller, Nana Krüger, Birgit Steinegger, Mattia Sbragia, Sylvia Rohrer, David Pietroni, Roland Koch, Walter Andreas Müller",Sabine Boss,Roland Schmid,"Viktor Giacobbo, Domenico Blass",Ruth Waldburger,,5.9,90.0,/iSRVm7J6MVDRlBMASvf7id8d9hB.jpg
15606,UFC Fight Night 17: Lauzon vs. Stephens,4.2,2.0,Released,2009-02-07,0.0,81.0,0.0,,en,UFC Fight Night 17: Lauzon vs. Stephens,"UFC Fight Night 17: Lauzon vs. Stephens was a mixed martial arts event held by the Ultimate Fighting Championship (UFC) on February 7 2009. Originally named UFC Fight Night: Lauzon vs. Franca, Jeremy Stephens stepped up to take on Joe Lauzon after Hermes Franca suffered a torn ACL during training and could no longer participate in this event.Derek Downey replaced Amir Sadollah after he was sidelined with a broken clavicle. Dan Miller replaced Alessio Sakara who pulled out of the bout with a shoulder injury. Matt Veach replaced George Sotiropoulos who suffered a rib injury.",1.781,,,,United States of America,English,"Steve Bruno, Kurt Pellegrino, Matt Grice, Josh Neer, Anthony Johnson, Denis Stojnic, Jeremy Stephens, Nick Catone, Rich Clementi, Matthew Frederick Riddle, Cain Velasquez, Matt Veach, Derek Downey, Robert Emerson, Joe Lauzon, Dan Miller, Luigi Fioravanti, Jake Rosholt, Gleison Tibau, Mac Danzig",,,,,,,,/2WSfSqLCWDEVEeNztH6gxbn6aVt.jpg
15607,EliteXC: Primetime,6.0,1.0,Released,2008-05-31,0.0,0.0,0.0,,en,EliteXC: Primetime,"EliteXC: Primetime main card aired live on CBS, marking the first time a MMA event aired in primetime on major American network television. The most hyped fights was Kimbo Slice vs James Thompson, Robbie Lawler vs Scott Smith and Gina Carano vs Kaitlin Young.",2.219,,,,United States of America,English,"Justin Robbins, André Soares, Wilson Reis, Scott Smith, Jon Murphy, Brett Rogers, Jim Bova, Carlton Haselrig, Robbie Lawler, Calvin Kattar, Joe Sampieri, Kaitlin Young, Chris Liguori, Carlos Moreno, Zach Makovsky, Matt Makowski, Phil Baroni, Nick Serra, Kimbo Slice, Mike Groves, James Thompson, James Jones, Joey Villasenor, Gina Carano",,,,,,,,
15608,Tiësto in Concert,8.1,39.0,Released,2003-11-02,0.0,209.0,0.0,tt0410774,es,Tiësto in Concert,"Tiësto in Concert is a performance of Tiësto's concert on May 10, 2003, at the Gelredome in Arnhem, Gelderland, Netherlands, when he performed before an audience of over 25,000 people. The concert was divided into parties with live performances by groups, bands and artists representing a country, which in turn represented a continent. It begins with a presentation by Tiësto followed by a live performance by Andain who presents to Britain and Europe. Then, a group of carnival Sanba presents to Brazil and South America. The singer's live performance and band Dinand Woesthoff presents ""The Star-Spangled Banner"" to the United States. The Chinese group Orange Studio performs the theme ""Tiësto in Concert Asia"", presented to countries there. After a live performance by singer Jan Johnston, Omar Ka & Fula Band presents to Africa, and finally, the live performance of Jerry de Jonge & Beijerink presents to Australia and Oceania. A Bluray version with the Director's Cut was released in 2012.",0.4086,,Music,Black Hole,Netherlands,"Nederlands, English","Dinand Woesthoff, Mavie Marcos, Jan Johnston, Tiësto",Peter van Eyndt,,,"Arny Bink, Wilfried Dam, Stan Gordijn",,8.7,254.0,/eRT4NSoebjqRxvqeVa2oVt0GkT4.jpg
15609,Aerosmith - You Gotta Move,6.0,2.0,Released,2004-11-23,0.0,168.0,0.0,tt0889166,en,Aerosmith - You Gotta Move,"Aerosmith's first official live DVD is a slickly produced affair that was originally made for and cablecast on the Arts & Entertainment network. The commercially released version is available in clean and parental advisory editions (for language) and also includes five bonus songs in a separate """"extras"""" section not seen on the television version. By Hal Horowitz",1.771,,Music,,United States of America,English,"Joe Perry, Tom Hamilton, Steven Tyler, Brad Whitford, Joey Kramer",Mark Haefeli,,,,,7.6,101.0,/v1EpwaiOSnyxHVa3NACqEmmvEIx.jpg
15611,Do You Believe in Miracles? The Story of the 1980 U.S. Hockey Team,8.75,8.0,Released,2002-01-08,0.0,60.0,0.0,tt0276918,en,Do You Believe in Miracles? The Story of the 1980 U.S. Hockey Team,"At the Winter Olympics of 1980, after two tense weeks amidst growing Cold War fears, the U.S. Olympic hockey team found themselves playing improbably against the legendary unbeatable Soviet Army hockey team for Olympic Gold. From the live footage taken at Lake Placid, NY, and through interviews beginning with the team's assembly through the experience of winning the gold medal.",2.856,Where were you?,Documentary,HBO,United States of America,English,"Jim Craig, Leonid Brezhnev, Jimmy Carter, Herb Brooks, Mike Eruzione, Al Michaels, Craig R. Whitney, Walter Mondale, Jack O'Callahan, Liev Schreiber, Ruhollah Khomeini",,,Bernard Goldberg,"Rick Bernstein, Ross Greenburg, Brian Hyland",Brian Keane,8.6,537.0,/q5nTEEPDEwwqV1gka3cicQjO9sa.jpg
15613,Fire in the Sky,6.6,624.0,Released,1993-03-12,19885552.0,109.0,15000000.0,tt0106912,en,Fire in the Sky,"After clearing brush for the government, a group of men return to town claiming their friend was abducted their friend. Despite no apparent motive or evidence of foul play, no-one believes their story and his disappearance is treated as murder.",2.571,"Alien abduction. November 5, 1975. White Mountains, Northeastern Arizona.","Science Fiction, Drama, Mystery, Thriller, Fantasy","Paramount Pictures, Joe Wizan/Todd Black",United States of America,English,"Mari Padron, Travis Walton, Wayne Grace, Robert Patrick, Bruce Wright, Lynn Marie Sager, John Breedlove, D. B. Sweeney, Henry Thomas, Robert Covarrubias, Glen Lee, James Garner, Natasha Henry, Robert Biheller, Susan Castillo, Mical Shannon Lewis, Nancy Neifert, Ronald Lee Marriott, Teresa Fox, Charley Lang, Noble Willingham, Holly Hoffman, Peter Berg, Tom McGranahan Sr., Peter Vasquez, Bradley Gregg, Jerry Basham, Dana Walton, Julie Ariola, Kathleen Wilhoite, Jane Ferguson, Craig Sheffer, Frank Chavez, Shinichi Mine, Georgia Emelin, Louis A. Lotorto, Kenneth White, Scott MacDonald, Vernon Barkhurst, Courtney Esler, Eric Wilsey, Gordon Scott, Marcia MacLaine, Scott M. Seekins",Rob Lieberman,Bill Pope,"Tracy Tormé, Travis Walton","Joe Wizan, Wolfgang Glattes, Todd Black",Mark Isham,6.5,30485.0,/rTFrjAp1YV49DSTUGCyKSkaEHC8.jpg
